headline,body_text,url,label
Чек ара чырына байланыштуу фейктер тарады. Фактчек,"Сүрөттө сөз болуп жаткан тик учак Орусияга таандык —  kamov ka-52 alligator 98 учагы. Кыргызстандын Улуттук коопсуздук боюнча мамлекеттик комитети комментарий тажик аскерлери Ми-24 тик учагы менен гана Баткен районундагы Төрт-Көчө жана Чыр-Дөбө аймактарын аткылаганын билдирди. Ал төмөнкү тик учак экенин көрүүгө болот. Видеоплеер Үчүнчү сүрөт:29-апрелде айрым кыргызстандык басылмалар ушул сүрөттү таркатты. Анда Тажикстан тараптан ок атуу күчөп жатканы айтылган. Сүрөттү Google аркылуу издөө салдык. Тартым 2019-жылы интернет желесине тараганы белгилүү болду. Бул окуя 2019-жылдын 6-ноябрында жүз берген. Куралчан 20 адам Тажикстандын борбор шаары Дүйшөмбүдөн 60 чакырым аралыкта жайгашкан «Султанабад» чек ара отрядына караштуу «Ишкобод» тозотунакол салган. Жыйынтык:Социалдык тармактардын кээ бир колдонуучулары жана айрым басылмалар жаңжалды өз пайдасына колдонуп, фейк сүрөттөрдү таратууда. Булак: T media",https://factcheck.kg/ky/kyrgyz-chek-ara-chyryna-bajlanyshtuu-fejkter-tarady-faktchek/,1
Royal central park – The Essence подсекциясынын курулушун баштоо – кошумча 5% жеңилдик,"Бишкекте Royal Central Park мегакомплексинин биринчи бөлүгү болгон The Essence подсекциясында 5 турак үйдүн курулушу башталып, сатып алуучулар үчүн 5% кошумча жеңилдик жарыяланды 2026-жылдын 3-мартындаRoyal Central Parkдолбоору мегашаардын башкы планынын алкагында ишке ашырылып жаткан биринчи бөлүк —The Essenceподсекциясынын курулушун расмий түрдө баштады. Бул окуя долбоордун өнүгүүсүндөгү маанилүү этапты гана белгилебестен, Бишкекте жаңы жашоо стандартынын башталышын билдирет. Бул жерде заманбап архитектура, комплекстүү инфраструктура жана эл аралык жашоо стили бир мейкиндикте айкалышат. 2026-жылдын 3-мартында The Essence аймагында 5 имараттын расмий түрдө курулушу башталды. The Essenceподсекциясынын курулушунун башталышына байланыштууRCA Livingкомпаниясы атайын жазгы акцияны да ишке киргизет:2026-жылдын 31-мартына чейин ийгиликтүү сатылган 60 батир үчүн кошумча 5% жеңилдиксунушталат (долбоордун башка учурдагы сунуштары менен бирге колдонулат). Бул программа сатып алуучулар жана инвесторлор үчүн долбоордун баштапкы этабында батирди пайдалуу шарттар менен сатып алууга жакшы мүмкүнчүлүк түзөт. Royal Central Park долбоорунун The Essence фазасындагы 5 турак үй башнясы — 29 кабаттуу 2 башня жана 42 кабаттуу 3 башня The Essenceкурулушунун башталыш аземи ошондой эле 2026-жылдын март айындаRoyal Central Parkөткөрө турган негизги иш-чаралардын сериясын ачат. 3-марттагы аземден кийин,2026-жылдын 14-мартындадолбоорПодсекция 1дин расмий курулуш баштоо аземин жана Lyra (Y3) жана Atlas (Y2) мунараларындагы батирлердин сатылышынын башталышынөткөрөт. Иш-чара түздөн-түзRoyal Central Parkдолбоорунун аймагында өтөт:Шаршен Термечиков көчөсү, 16, Бишкек, Кыргызстан. The Essence– Royal Central Parkтын эң уникалдуу подсекциясы, беш Y формасындагы мунарадан турат – бул заманбап дизайн чечими ар бир батирге максималдуу табигый жарык жана көрүнүш берүү үчүн иштелип чыккан. Бул өзгөчө структура батирлерге оптималдуу күн нуру жана табигый аба агымын камсыз кылат, ошондой эле микро-климат таасирин азайтат. Y формасы мунаралардын аралыгын көбөйтүп, жеке жашоонун купуялуулугун жана шаардык мейкиндикте кенен жашоо тажрыйбасын берет. All-in-one масштабындагы Royal Central Park шаардык комплексиндеги The Essence фазасынын ландшафттык бакчасы Архитектурадан тышкары, The Essence «бакчадагы шаар» катары пландалган, подсекциянын жалпы аянтынын 50% жашыл зона жана инфраструктура үчүн бөлүнгөн. Тургундарга жеке объекттерге кирүү мүмкүнчүлүгү берилет: грек стилиндеги ландшафттык бакчалар, бардык мезгилдерге ылайыкталган бассейн, фитнес борбору, коммерциялык подиумдар, асман бакчалары жана эл аралык стандарттар боюнча башкаруу. Бул толук интеграцияланган экосистема тургундарга жашоо, эс алуу жана саламаттыкты сактоо кызматтарын түз комплекс ичинде пайдаланууга мүмкүнчүлүк берет. Мурда, 2026-жылдын январь жана февраль айларында, Royal Central ParkLyra (Y3)жанаAtlas (Y2)мунараларынын сатууларын ийгиликтүү өткөрдү, бул сатып алуучулар жана инвесторлор тарабынан чоң кызыгуу жаратты. Айрыкча, 15–28-кабаттардагы батирлер панорамалык көрүнүшү, тынч чөйрөсү жана узак мөөнөттүү туруктуу баалуулугу үчүн өзгөчө суроо-талапка ээ болду. Жогорудагы батирлер өсүп келе жаткан шаарларда популярдуулугун жогорулатууда. Панорамалык көрүнүштөрдү жана таза мейкиндикти сунуштаган менен катар, жогорку кабаттагы батирлер баалуулугун жакшы сактап, убакыт өтүү менен баасын көбөйтөт. Бул мисалдар көрсөткөндөй, калктын кирешеси жана жашоо сапатына болгон талап жогорулаган сайын, интеграцияланган шаардык комплекстердеги жогорудагы батирлерге өтүү – табигый тенденция, жана Бишкек да акырындап ушул жолду басып жатат. Азыркы учурда Бишкек ушундай трансформацияны баштап жатат: заманбап, жакшы пландалган жана толук инфраструктурасы бар жашоо мейкиндиктерине суроо-талап өсүүдө. Чектелген көлөмдөгү чоң долбоорлор шартында, Royal Central Park сыяктуу «бардыгы бир жерде» мегакомплекстер жакынкы жылдары күчтүү өсүшкө ээ болот деп бааланууда. The Essence фазасындагы Lyra (Y3) корпусундагы батирдин интерьери The Essence13% чейин жеңилдиктер менен инвесторлорго Бишкектин турак-жай рыногунун баштапкы өсүү баскычынан пайда алуу үчүн кошумча стимул берет. Бул региондук рынок маалыматтары менен дагы бекемделет: Бул цифрлар көрсөтүп турат, шаардык рыноктор тез өнүгүп, сунуш чектелгенде, The Essence сыяктуу жогорку сапаттагы батирлер – оптималдаштырылган пландоо, интеграцияланган инфраструктура жана эл аралык стандарттар боюнча башкаруу менен – рыноктун өнүгүүнүн баштапкы этаптарында баалуулукту жогорулатуу үчүн чоң потенциалга ээ. 2026-жылдын март айындагы иш-чараларды улантуу менен, Royal Central Park 14-мартта долбоордун аймагында кийинки ири сатуулар окуясын өткөрөт. Бул сатып алуучулар жана инвесторлор үчүн өзгөчө мүмкүнчүлүк: ушул этапта сатып алынган батирлер 13% чейин жеңилдиктерге ээ болот жана жалпы наркы9 миллион KGSчейин баалуу белектерди алуу мүмкүнчүлүгүнө ээ. Акция 2026-жылдын 30-апрелине чейин катталган кардарларга колдонулат.",https://vesti.kg/kg/zxc-kg/item/148673-royal-central-park-the-essence-podsektsiyasynyn-kurulushun-bashtoo-koshumcha-5-zhenildik.html,0
Орозо-2026: Бүгүн биринчиТаравих намазы окулат. Эрежелери,"Бүгүн жалпы мусулмандар чыдамсыздык менен күтүп жаткан ыйык рамазан айы кирип келет. Дал ушул айда гана окулган Таравих намазынын эрежелерин билесизби? Бул тууралуу «Умма» ислам журналы жарыялады. Мусулмандар үчүн (эркектерге да, аялдарга да) таравих намазды окуу муаккад сүннөт (зарыл сүннөт) болуп саналат. Пайгамбарыбыз Мухаммед (Алланын ага салам-салаваттары болсун) минтип айткан: «Кимде ким Рамазан айында ишеним менен таравих намазын окуп, Аллахтын сыйлыгын күткөн болсо, анда анын мурунку күнөөлөрү кечирилет». Таравих намазы- Рамазан айында гана куптан намазынан кийин багымдат намазынын убагы киргенге чейин окулчу нафил намазы.",https://24.kg/kyrgyzcha/362526_orozo-2026_bugun_birinchitaravih_namazyi_okulat_erejeleri/,0
АКШ Ирандын мунайын иштеткен Кытайдагы заводдорго эскертүү берди,"АКШнын Финансы министрлиги Кытайда жайгашкан көз карандысыз мунай иштетүүчү заводдор, асыресе Шаньдун провинциясындагы ишканалар Ирандын чийки мунайын импорттоодогу ролу үчүн санкцияларга кабылышы ыктымал деп эскертти. Министрликтин маалыматына караганда, Кытай Ирандын мунай экспортунун дээрлик 90% алат. Анын басымдуусу ошол чакан заводдор тарабынан кайра иштетилип, Тегерандын кирешесине салым кошот. “Ошол киреше акыр-аягында Иран режимине, курал-жарак программасына жана армиясына пайда алып келет”, - деп айтылат мекеменинбилдирүүсүндө. Министр Скотт Бессент Х социалдык тармагындагы постунда белгилегендей, Кошмо Штаттар Ислам жумуриятынын эл аралык көмүскө банк инфраструктурасын, көмүскө флотун жана Тегерандын мунай соодасын колдогон кытайлык чакан мунай ишканаларын бутага алуу менен Иранга болгон экономикалык басымды күчөтүүдө. Бессент Ирандын негизги мунай хабы – Харк аралындагы кара май сактоочу жайлар толуп калганын, өлкө мунай өндүрүүнү азайтууга аргасыз болорун белгиледи. Ал кошумчалагандай, муну менен Тегеран күнүнө 170 миллион доллар кирешеден кол жууп, мунай инфраструктурасы жапа чекмекчи. Бир нече күн мурун Вашингтон Ирандын мунайын сатып алат деген кине менен Кытайдын  көз карандысыз  Hengli мунай иштетүүчү компаниясына санкция салган. 27-апрелде Бээжин бир тараптуу санкцияларга каршы экенин билдирип, мындай практиканы токтотууга чакырды. Компания өзү да айыптоолорду четке какты жана Иран менен соода кылбаганын билдирди.",https://www.azattyk.org/a/33744980.html,0
Бишкекте бокс боюнча эл аралык турнир өтөт,"Бишкекте Советтер Союзунун баатыры Дүйшөнкул Шопоковдун жаркын элесине арналган бокс боюнча эл аралык турнир өтөт. Бул тууралуу Дене тарбия жана спорт мамлекеттик агенттиги билдирди. Маалыматка ылайык, мелдештер 26-апрелден 1-майга чейин Каба уулу Кожомкул атындагы спорт ордосунда өткөрүлөт. Мелдешке 19 жаштан 40 жашка чейинки мушкерлер 50 кг, 55 кг, 60 кг, 65 кг. 70 кг, 75 кг, 80 кг, 85 кг, 90 кг чейинки жана 90 килограммдан жогору он салмак чен бирдигинде күч сынашат. Турнирдин жыйынтыгында жеңүүчүлөр жана байге ээлери тиешелүү даражадагы медалдар жана дипломдор менен сыйланышат.",https://24.kg/kyrgyzcha/371342_bishkekte_boks_boyuncha_elaralyik_turnir_otot/,0
Дүйнөнү Ротшильд аттуу жаран башкарат деген маалымат — фейк [split],"Rothschild Groupкомпаниясынын жылдык отчетуна ылайык, 2019-жылы жалпы киреше 875 миллион еврону түзгөн. Ошол эле учурда дүйнөдө эң ири дүң жана чекене сооданы жүргүзгөн Walmart компаниясынын кирешеси514,4 миллиарддоллар болгон. Мындан тышкары,Forbesтизмегине да көз чаптырып көрөлү. Бул тизмекке Ротшильддер үй-бүлөсүнүн эки мүчөсү кирген, алардын жалпы кирешеси 3,5 миллиард доллар. Династиянын мүлкү тууралуу башка булактарда такталган маалымат эмес, жалаң божомолдор ганатабылды. Белгилей кетсек, 2012-жылы 96 жаштагы (учурда көз жумган) Дэвид Рокфеллер жана 76 жаштагы Джейкоб Ротшильд капиталдарын бириктирип, активдерди башкарчу баасы 40 миллиард долларды чапчыганкомпанияныбиргеликте ачкан. Ал эми жүздөгөн триллион долларлар тууралуу ишенимдүү маалымат",https://factcheck.kg/ky/rotshild-hozyain-mira-nepravda/,1
"Украина жана Орусия бири-бирин дрон менен аткылады, киши өмүрү кыйылды","Ишембиге караган түнү Орусиянын армиясы Украинанын Одесса аймагына жапырт чабуул жасады. Соккунун бири жеке турак жайга тийди. Шаардык администрация башчысы Сергей Лысак эки киши каза болгонун, кеминде дагы эки киши жараат алганын билдирди. Ондогон имараттар зыян тартты, арасында бала бакча, жатакана жана инфратүзүм объектилери бар. Ушул түнү Харьков облусу дагы аткылоого дуушар болду. Укриананын Өзгөчө кырдаалдар кызматы дрон Великий Бурлук айылындагы административдик имаратка сокку уруп, өрт чыкканын кабарлады. Каза болгондор жана жараат алгандар жок. Никополдо дрон чабуулунан жүк ташуучу эки машина күйүп кетти. Алардын биринин 67 жаштагы айдоочусу ошол жерден мерт болгонун Днепропетровск облусунун башчысы Александр Ганжа билдирди. Кировоград облусунда жеке үй зыянга учурады. Украинанын Абадан коргонуу күчтөрүнүн маалыматына караганда, Орусия өткөн түнү 160 дрон менен чабуул жасады, алардын 133ү атып түшүрүлдү. 11-апрелге караган түнү Украина да Орусиянын аймагына дрон менен чабуул койгонун орус Коргоо министрлиги билдирди. Мекеменин маалыматына караганда, Краснодар крайында бир киши каза болду. Аннексияланган Крымда, ошондой эле Белгород, Брянск, Ростов, Калуга, Курск облустарынан жана Азов, Кара деңиздин үстүнөн 99 украин дрону атып түшүрүлгөнү маалымдалды. Жергиликтүү тургундар түнү Тверде бери дегенде үч жарылуу болгонун кабарлашты. Анын бири ""Тверьнефтепродукт"" мунай базасы экенин Astra басылмасы күбөлөр жарыялаган видеолордон улам жазды. Коргоо министрлигинин маалыматында украин армиясынын Тверге соккусу тууралуу айтылган эмес. Жергиликтүү бийлик чабуул тууралуу маалымат берген жок. Краснодар крайынын губернатору Вениамин Кондратьевдин кабарлашынча, Крым районунда учкучсуз учактын сыныгы көп кабаттуу үйдүн балконундагы бир кишиге тийип, ал каза болду.",https://www.azattyk.org/a/33729963.html,0
АКШ мамдепартаменти: Өзөктүк энергетика ишеничтүү колдо болушу керек,"АКШнын мамлекеттик департаменти Чернобыл кырсыгынын 40 жылдыгына карата өзөктүк коопсуздуктун маанисин белгилеген жана трагедиянын курмандыктарын эскергенбилдирүү таратты. ""40 жыл мурда Чернобыл апааты дүйнөнүн өзөктүк коопсуздук боюнча көз карашын биротоло өзгөрткөн. Биз Украина, Беларус, Орусия жана башка өлкөлөрдөгү бул трагедияга туш болгон жана анын кесепеттери менен бүгүнкү күнгө чейин күрөшүп келе жаткан бейкүнөө адамдардын укмуштуудай эрдигин эскеребиз жана урматтайбыз"", - деди мамлекеттик департаменттин өкүлүТомас Пиготт. Ал АКШ кырсыктын кесепеттерин жоюуга жардам бергенин, бул объектте жана жалпы дүйнөдө өзөктүк коопсуздукка артыкчылык берүүнү улантып жатканын белгиледи. ""Өзөктүк энергетика ачык-айкындуулукка берилген жоопкерчиликтүү колдордо калышы керек"", - деп жазылган билдирүүдө. Украинанын президенти Владимир Зеленский Чернобыл кырсыгынын 40 жылдыгына карата билдирүүсүндө ""Орусия өз согушу менен дүйнөнү кайрадан техногендик кырсыктарга кептеп жатканын""билдирди. Ал былтыр орусиялык дрон талкаланган реакторду жаап турган саркофагга тийгенин эске салды. ""Дүйнө бул өзөктүк терроризм уланышына жол бербеши керек, эң жакшы ыкма - Орусияны акылсыз чабуулдарын токототууга мажбурлоо"", - деп жазды ал. Украин премьер-министри Юлия Свириденко Орусия Запорожье атомдук электр станциясын басып алуу жана аны тынымсыз аткылоо менен ""континенталдык масштабда коркунучтарды жаратып, өзөктүк коопсуздук принциптерин этибарга албай келерин""билдирди. ""Чернобыл 1086-жылда калган жок. Бул дүйнөлүк энергетикалык коопсуздукка тоталитардык режимдин чыныгы коркунучун туруктуу эскертүү"", – деп жазды Свириденко. Евробиримдиктин тышкы иштер министри Кая Каллас ""Орусиянын Запорожье АЭСин мыйзамсыз басып алуусу айлана-чөйрөгө жана адамзатка коркунучту көрүнүктүү деңгээлде жогорулатарын"" билдирди. ""Орусиянын бул объекттеги коргоочу саркофагга сокку урганы -  ондогон жылдар бою жүргүзүлгөн эл аралык зыянды көзөмөлдөө аракеттерин коркунучка кептеген болуп көрбөгөндөй этиятсыздык"", - депжазганКаллас. Молдованын президенти, ушул тапта Киевде жүргөн Майя Санду ""Европа үчүн өмүрүн жана ден соолугун бергендерди эскерүү үчүн"" Чернобылга барууну көздөп жатат. ""Апааттар чек араны билбейт - аны тилектештик да билбеши керек. Молдова кыйратуучулар менен эмес,куруучулар менен бирге турат"", -деп билдирдиСанду. СССР маалында - 1986-жылдын 26-апрелинде Украинадагы Чернобыл өзөктүк ишканасында болгон жарылуу айлана-чөйрөгө оор зыян келтирип, жүз миңдеген адамдар там-ташын таштап кетүүгө аргасыз кылган. Бул ишкана 2000-жылдын 15-декабрында жабылган.",https://www.azattyk.org/a/33743203.html,0
Фоточек: Алп жылкылардын уникалдуу сүрөттөрүбү же фотомонтажбы? [split],"Бир караганда бул сүрөттөр чыныгы сүрөттөй болуп көрүнөт: адамдардын кийимдери, алардын артындагы үйлөр – бардыгы XX кылымдын башындагы доорго туура келет. Бирок үңүлүп караганда алардын жасалма экендигин айгинелеген айрым каталарды байкаса болот. Бирок алар фотомонтажга эмес, жасалма интеллекттин жардамы менен жасалган сүрөттөргөмүнөздүү каталар. Мисалы, сүрөттүн биринде ат жабдыгы аттын соорусуна гана бекитилген, төшүндө ал абада илинип турат. Ушул эле жабдык аттын артында асманда илинип турат, андан ары ал жөн эле абага сиңип жок болуп кетет. Ошондой эле аттын башындагы жүгөндүн бир бөлүгу каякта экени белгисиз. Башка сүрөттө аттын оң жагында турган адамдын колуна көңүл бурсак. Анын манжалары таңгаларлык узун жана бүдөмүк. Жасалма интеллектин адамдардын мүчөлөрүн туура эмес",https://factcheck.kg/ky/fotochek-unikalnye-fotografii-gigantskih-loshadej-ili-fotomontazh/,1
Үч жыл бою имаратты башкаруу чыгымдарысыз: Royal Central Park долбоорунун стратегиялык артыкчылыгы,"Башкаруу төлөмдөрүнүн жоктугу менчик ээлери жана ижарачылар үчүн эмнени билдирет Пайыздык чендер жогору бойдон калган шартта, кыймылсыз мүлккө инвестиция салган адам үчүн негизги коркунуч рыноктун жай өсүшүндө эмес, капиталдын наркы инвестициялык циклдин өтө эрте этабында пайда болушунда жатат. Акча агымы алгачкы жылдарда эле түгөнүп калганда, ички кирешелүүлүк нормасы (IRR) актив өзүнүн чыныгы баалуулугун түзө электе эле «кысылып» калат. Дал ушул жерде кыска мөөнөттүү жеңилдикке негизделген келишим менен узак мөөнөткө эсептелген системалуу инвестициялык стратегиянын ортосундагы чек өтөт. Ушул себептен Royal Central Park долбоорундагы каржылоо пакети жөн гана кыска мөөнөттүү пайыздык жеңилдик эмес. Бул — убакыт огуна ылайык түзүлгөн финансылык структура. Ал инвесторлорго жетиштүү деңгээлде акча агымын башкаруу ийкемдүүлүгүн берип, рынок баалардын активдүү өсүү фазасына киргенге чейин батирлерди кармап турууга мүмкүндүк берет. Башкача айтканда, инвесторлор пайыздык басымдан улам мажбурлап сатууга эмес, рыноктук өсүштү күтүүгө шарт алышат. Алгачкы үч жыл жөн гана «жеңилдик мезгили» эмес, IRRди оптималдаштырууга багытталган атайын иштелип чыккан финансылык буфер болуп саналат. The Essence фазасындагы Atlas (Y2) корпусунда жайгашкан батирдин интерьери Мындай ыкма дүйнөлүк кыймылсыз мүлк инвестициялоо тажрыйбасында жаңылык эмес. Эл аралык изилдөөлөр көрсөткөндөй, этап-этабы менен ишке ашырылган жана толук интеграцияланган инфраструктурасы бар ири шаардык долбоорлор өз алдынча турган долбоорлорго салыштырмалуу баанын жогору өсүш темпин көрсөтөт. Savills компаниясынын Азиядагы комплекстүү шаардык кыймылсыз мүлк боюнча отчетуна ылайык, Сингапур, Сеул жана Шанхайдагы мастер-план менен курулган ири коомчулуктардагы батирлер ошол эле өнүгүү циклинде комплекстүү эмес долбоорлорго караганда орточо 20–40% жогору өсүштү көрсөткөн. Мунун себеби спекуляцияда эмес, инфраструктуранын бүткөрүлүшү, аймакты көрктөндүрүү жана калктын тыгыздыгынын өсүшү менен баалуулуктун акырындык менен топтолушунда. Лондондо CBRE жүргүзгөн изилдөөлөр Canary Wharf жана King’s Cross сыяктуу мастер-пландалган райондордо баштапкы этапта батирлердин баасы туруктуу эксплуатация фазасына чыккан учурга салыштырмалуу кыйла төмөн болгонун көрсөтөт. 7–10 жыл ичинде бул аймактар «өнүгүү зонасынан» шаардын жаңы функционалдык борборлоруна айланган соң, кыймылсыз мүлктүн наркы олуттуу өскөн. Белгилей кетүүчү нерсе, баанын негизги өсүшү инвесторлор эң чоң капиталдык чыгымдар мезгилин артта калтыргандан кийин болгон, бул активди толук цикл ичинде кармап туруунун маанилүүлүгүн баса белгилейт. Жакынкы Чыгыш өлкөлөрүндө да ушуга окшош мисалдар бар. Дубайдагы Downtown Dubai жана Dubai Marina сыяктуу интеграцияланган шаардык райондор Knight Frank маалыматы боюнча орточо көрсөткүчтөн жогору узак мөөнөттүү баа өсүшүн көрсөтүп келет. Себеби алар жашоочуларды, компанияларды жана эл аралык капитал агымдарын өзүнө тартуу жөндөмүнө ээ. Ал эми алардын айланасындагы майда долбоорлор төмөн өсүштү жана жогорку туруксуздукту көрсөтөт. Бул жерде да негизги фактор сатып алуу учурундагы пайыздык чен эмес, активди калыптануу жана кайра баалоо мезгилинде кармап туруу мүмкүнчүлүгү болуп саналат. Royal Central Park долбооруна кайрылсак, үч жылдык cost of carry жок структура инвесторлорго дүйнөлүк мастер-пландалган долбоорлордо өзүн актаган стратегияны колдонууга шарт түзөт: эрте этапта сатып алуу, өсүү фазасында активди кармап туруу жана каржылык милдеттенмелерди актив жаңы баа деңгээлине жеткенден кийин гана тейлей баштоо. Рынок өскөн сайын жана активдер кайра бааланган сайын, насыянын наркка карата катышы (LTV) табигый түрдө жакшырып, карыз активдин баасына салыштырмалуу «жеңилдей» түшөт. The Essence фазасындагы 5 мунара жана Royal Central Park’тын сүрөтү — расмий түрдө 2026-жылдын январына бери сатыкта Бул — пассивдүү рычаг менен стратегиялык рычагдын ортосундагы чек. Пассивдүү рычаг инвесторду бир эле учурда карыз алууга жана акча агымын жоготууга мажбурлап, IRRди башынан эле кысат. Ал эми стратегиялык рычаг каражатты туура убакта тартууга жана капиталдык чыгымдарды активдин баасы өсүп, инвестициялык позиция бекемделгенден кийин гана төлөөгө мүмкүндүк берет. Пайда түзүлүшүнүн механикасы жагынан караганда, Royal Central Park инвесторлору батирди «үч жылдык жеңилдик» аркылуу сатып алышпайт. Алар Бишкектин өсүү фазасында IRRди пайыздык басымдан улам төмөндөтпөстөн позицияны кармап турууга мүмкүнчүлүк берген структураны сатып алышат. Убакыт негизги атаандаштык артыкчылык болгон циклде бул — Royal Central Park узак мөөнөттүү инвесторлорго сунуш кылган башкы баалуулук. Каржылык рычагды моделдөө (пайыздык модель) Батирдин абсолюттук наркына карабастан, каржылык рычагдын натыйжалуулугун көрсөтүү үчүн модель толугу менен пайыздык катыштарга негизделген. Инвестор капитал структурасын 30% жеке каражат жана 70% банктык насыя түрүндө колдонот. Негизги сумма жана пайыздар боюнча үч жылдык жеңилдик мезгили каралган, бул мезгилде пайыздык чыгымдарды куруучу компания төлөп берет. The Essence фазасындагы ландшафттык бак — All-in-one Royal Central Park масштабдуу шаар комплекси Баалардын динамикасы боюнча модель биринчи жылы активдин наркы 35% өсөт, андан кийин кийинки эки жылда турукташат деп болжолдойт. Бул — каржылык рычагдын таза таасирин так көрсөтүүгө мүмкүндүк берген консервативдүү сценарий. Мындай шартта үч жылдын ичинде активдин наркы баштапкы деңгээлдин 135%ына жетет, ал эми карыз 70% деңгээлде өзгөрүүсүз калат. Жеке капиталдын наркы 65%ды түзөт — бул активдин наркы менен карыздын ортосундагы айырма. Баштапкы 30% жеке каражатка салыштырмалуу бул 35 пайыздык пунктка өсүштү билдирет же үч жыл ичинде жеке капиталга карата болжол менен 117% кирешелүүлүккө (ROE) барабар. Мында ижара кирешеси, кайра каржылоо же рыноктун мындан аркы өсүшү сыяктуу кошумча факторлор эсепке алынган эмес. The Essence фазасынын борбордук багынын визуалдаштырылышы, грек багынын концепциясынан шыктанган. ______________________________________________________ МААЛЫМАТТЫК БӨЛҮК: Royal Central Park долбоорундагы ипотекалык программа тууралуу маалымат",https://vesti.kg/kg/zxc-kg/item/148165-uch-zhyl-boyu-imaratty-bashkaruu-chygymdarysyz-royal-central-park-dolboorunun-strategiyalyk-artykchylygy.html,0
