id,headline,body_text,source,url,date,language,label,label_confidence,evidence_url,source_type
9f6958f8-d1eb-4f07-9798-767f61c7cccb,Виза жана миграция маселелери ТИМде Пакистандын элчиси менен талкууланды,"Кыргыстандын Тышкы иштер министрлигинин Консулдук департаментинин директору Сейтек Жумакадыр уулу Пакистандын Атайын жана Ыйгарым укуктуу элчиси Алтамаш Визир Хан менен жолугушту. Бул тууралуу Тышкы иштер министрлигинин басма сөз кызматы билдирди. Маалыматка ылайык, тараптар кыргыз-пакистан консулдук кызматташтыгынын маселелерин, анын ичинде визаларды иштетүү жана виза жана миграция жаатындагы кызматташтыктын башка аспектилерин талкуулашты. «Эки өлкөнүн жарандарынын укуктарын коргоодо координациялоого өзгөчө көңүл бурулду» — деп айтылат билдирүүдө.",24.kg,,,kyrgyz,0,high,,news_site
b079eb43-011f-402e-a9cf-2fe9d2127932,Ошто «Ала-Тоо жазы» фестивалы өтөт,"29—30-апрелде Ош шаарында «Ала-Тоо жазы» студенттердин фестивалы өтөт. Бул тууралуу Маданият, маалымат жана жаштар саясаты министрлигинен билдиришти.Маалыматка ылайык, маданий иш-чара Кыргызстандын ар кайсы аймактарынан келген таланттуу жаштарды бириктирип, алардын чыгармачылык мүмкүнчүлүктөрүн кеңири коомчулукка тартуулоону максат кылат.Фестивалда вокалдык искусство, классикалык музыкалык аспаптарды ойноо, фольклордук аткаруучулук жана хореография багыттарында чыгармалар тартууланат.Иш-чара эки баскычта уюштурулат: биринчи баскычта жогорку жана орто кесиптик окуу жайлардын ичинде тандоо турлары өтсө, экинчи баскычта финалдык этапка өткөн мыкты командалар күч сынашат.Белгилей кетсек, сынакка Б.Бейшеналиева атындагы Кыргыз улуттук маданият жана искусство университетинин, К.Молдобасанов атындагы Кыргыз улуттук консерваториясынын студенттери жана музыкалык же искусство багытындагы факультеттерде окуган студенттер катыша алышпайт.",24.kg,,,kyrgyz,0,high,,news_site
983cb533-6ceb-4c12-9b6a-2416c8dc762e,Качууга аракет кылды: Мас жана баңгизат колдонгон айдоочу күбөлүгүнөн ажыратылат,"Бишкек шаарындагы рейддердин биринде Милициянын кайгуул кызмат башкармалыгынын (МККБ) кызматкерлери «Subaru» үлгүсүндөгү унааны токтотушкан. Бирок айдоочу токтоо боюнча мыйзамдуу талапка баш ийбей, качып кетүүгө аракет кылган. Бул тууралуу Бишкек шаардык МККБнын басма сөз кызматы билдирди. Маалыматка ылайык, куугунтуктун натыйжасында унаа токтотулган. Ошол эле учурда айдоочу унааны тротуарга айдап чыгып, дагы бир жолу качууга аракет кылган. Унаа токтогондон кийин ал ичинен чыгып, жөө качууга аракет кылган жеринен кайгуул кызматкерлери тарабынан дароо кармалган.  Текшерүү учурунда айдоочунун бир эле учурда алкоголдук жана баңгилик мас абалында экени аныкталган. Унаа айып токтотуучу жайына киргизилди. Айдоочуга карата укук бузуулар тууралуу тийиштүү протоколдор түзүлдү. Материалдар айдоочуну унаа башкаруу укугунан ажыратуу маселесин кароо үчүн сотко жөнөтүлөт.",24.kg,,,kyrgyz,0,high,,news_site
49d24f00-f589-4d98-9c61-a9946e28ddd9,Кыргызстандык спортчулар Кытайдагы VI Азия пляж оюндарына жөнөп кетишти,"22-30-апрель күндөрү Кытайдын Санья шаарында өтүүчү VI Азия пляждык оюндарына катышуучу спортсмендерди узатуу аземи болуп өттү. Бул тууралуу Дене тарбия жана спорт боюнча мамлекеттик агенттиктин басма сөз кызматы билдирди. Маалыматка ылайык, мелдешке 45 өлкөнүн спортчулары катышат. Программага 14 спорт түрү кирет. Оюндарда Кыргызстандык кырк спортчу күч сынашат. Иш-чарада Кыргыз Республикасынын Министрлер Кабинетине караштуу дене- тарбия жана спорт мамлекеттик агенттигинин директорунун орун басары Улан Кыдырбаев спортсмендерге мамлекеттик тууну салтанаттуу түрдө тапшырып, аларга чоң ишеним артылганын белгиледи. Ошондой эле, алдыдагы мелдештерде мекендин намысын татыктуу коргоп, жогорку жыйынтыктарды көрсөтүшүнө ишеним билдирди, Белгилей кетсек, пляждык оюндарга бул жылы 45 өлкөнүн спортсмендери катышып, 14 оюндун түрү боюнча мелдештер өтөт. Кыргызстандын атынан жалпы 40 спортсмен катышат.",24.kg,,,kyrgyz,0,high,,news_site
56b96721-9b1d-4d7b-8eba-87cdd44e049d,Шашылыш билдирүү! Тоолуу аймактарда сел жүрүшү мүмкүн,"Кыргызстандын аймагында 15-апрелдин экинчи жарымынан тарта 17-апрелге чейин аба ырайы туруксуз болуп, нөшөрлөгөн жаан жаашы күтүлүүдө. Бул тууралуу Кыргызгидромет кызматы шашылыш билдирүү таратты. Маалыматка ылайык, айрым аймактарда жаан-чачын катуу жаайт. Буга байланыштуу республиканын тоолуу жана тоо этектериндеги райондорунда сел жүрүү коркунучу бар экени айтылды. Ошондой эле дарыяларда суунун деңгээли көтөрүлүшү ыктымал. Өзгөчө кырдаалдар министрлиги жарандарды сак болууга жана арыктарды тазалап, алдын алуу чараларын көрүүгө чакырат.",24.kg,,,kyrgyz,0,high,,news_site
28dbbc5e-47f8-4055-a396-4e7c5f27c099,"Тажикстанда жер титирөө катталып, күчү Кыргызстанда сезилди","Тажикстанда жер титирөө катталып, анын күчү Кыргызстанда да сезилди. Бул тууралуу Улуттук илимдер академиясынын Сейсмология институту билдирди. Маалыматка ылайык, күчү 3,5 баллга жеткен жер титирөө бүгүн, 29-апрелде түнкү саат 2:22де катталган. Жер титирөөнүн очогу Тажикстандын аймагында, Кара-Тейит айылынан 20 чакырым түштүк-батыш тарапта, ал эми Баткен шаарынан 110 чакырым түштүк-чыгыш тарапта жайгашкан. Жер титирөөнүн күчү Кара-Тейит жана Карамык айылдарында болжол менен 2,5 баллды түздү. Сейсмологдор ошондой эле 28-апрелде саат 11:43тө Кыргызстандын аймагында күчү 3,5 баллга жеткен жер титирөө болгонун кабарлашты. Анын очогу Такталы кырка тоосунун аймагында — Көк-Бел айылынан 8 чакырым түштүк-чыгышта, Кетмен-Төбө айылынан 12 чакырым түштүк-батышта, Токтогул районунун борборунан 25 чакырым түштүк-чыгышта жана Манас шаарынан 80 чакырым түндүк тарапта жайгашкан. Жер титирөөнүн күчү Көк-Бел айылында болжол менен 3 балл, Кетмен-Төбө айылында болжол менен 2,5 балл деп бааланды.",24.kg,,,kyrgyz,0,high,,news_site
7a180a0f-f9a5-4b02-974a-16584d278a1b,Бишкектин Жибек Жолу проспектисинин бир бөлүгү убактылуу жабылды,"Бишкектеги Жибек Жолу проспектисинин Жаш Гвардия бульварынан Калык Акиев көчөсүнө чейинки бөлүгү жол кыймылы үчүн жабылды. Бул тууралуу мэриядан билдиришти. Маалыматка ылайык, ал тилкеде диаметри 600 мм болгон канализация коллекторун орнотуу үчүн курулуш-монтаждоо иштери жүргүзүлөт. «Бишкексууканалы» ишканасы борбор калаанын тургундарынан жана конокторунан келтирилген ыңгайсыздыктарды түшүнүү менен кабыл алып, каттамды алдын ала пландаштырууну суранат.",24.kg,,,kyrgyz,0,high,,news_site
a3030195-b23a-474f-86ac-a331797246c7,"Кыргызстанда жумушсуздуктун жалпы деңгээли 3,7 пайызды түзөт","Кыргызстандагы жалпы жумушсуздуктун деңгээли 3,7 пайызды түзөт. Бул тууралуу Эмгек министрлигинин маалыматтарында айтылат. Ага ылайык, 2025-жылдын аягында өлкөдөгү расмий жумушсуздуктун деңгээли 1,3 пайызды түзгөн. Улуттук статистика комитетинин эсептөөлөрүнө ылайык, 2025-жылдын 1-февралына карата Кыргыз Республикасынын калкынын саны 7 миллион 404 миң 300 адамды түзгөн. Жумушчу күчүнүн жалпы саны 2 миллион 860 миң 700 адамды түзгөн. Жумуш менен камсыз болгон калктын саны 2 миллион 756 миң, ал эми жумушсуз калктын саны 104 миң 700 болгон. Жумуш менен камсыз кылуу органдарында катталган жумушсуздардын саны 57 миң 700 адамды түзгөн (25 миң 521 аял жана 33 миң 752 жаштар). Расмий түрдө жумушсуз деп жарыялангандардын саны 38 миң 270 адамды түзгөн (17 миң 591 аял жана 23 миң 488 жаштар).",24.kg,,,kyrgyz,0,high,,news_site
ef987651-1d79-4224-b1fc-2e6f29d2da8b,XVII КИТЕП FEST — 2026: Бүгүн эл аралык китеп фестивалы башталат,"Бүгүн, 23-апрелде Жалал-Абад облусундагы Манас шаарында жыл сайын өткөрүлүп келе жаткан Эл аралык «XVII КИТЕП FEST — 2026» китеп фестивалы башталат. Бул тууралуу Маданият, маалымат жана жаштар саясаты министрлиги билдирди. Маалыматка ылайык, иш-чара Жалал-Абад облустук китепканасынын 100 жылдык мааракесине арналат. Фестивалдын негизги максаты — улуттук китеп басып чыгаруунун жетишкендиктерин кеңири жайылтуу, басмаканалар ортосундагы кызматташтыкты чыңдоо жана коомдо китеп окуу маданиятын өнүктүрүү. Фестивалга Россия, Казакстан, Өзбекстан өлкөлөрүнөн акын-жазуучулар, басмаканалардын өкүлдөрү, ошондой эле маданият жана адабият чөйрөсүнүн ишмерлери катышат. Мындан тышкары, Кыргызстандын бардык аймактарынан — республикалык, облустук, райондук, шаардык жана айылдык китепканалардын өкүлдөрү да катышат. Иш-чаранын алкагында китеп көргөзмөлөрү,белгилүү акын-жазуучулар менен жолугушуулар, концерттик программалар, адабий конкурстар ,театрлаштырылган оюн-зооктор, китеп окууну жайылткан интерактивдүү иш-чаралар уюштурулат Ошондой эле китеп жумалыгынын алкагында республика боюнча бардык деңгээлдеги китепканаларда параллелдүү түрдө китеп фестивалдары жана маданий иш-чаралар өткөрүлөт.",24.kg,,,kyrgyz,0,high,,news_site
76c30d5d-9677-474a-b6a1-e07e2c8477b1,«Кыргызсериал» мекемеси сериалдарды тартууга сынак жарыялады,"«Кыргызсериал» мамлекеттик мекемеси тик форматтагы сериалдарды тартуу боюнча сынак жарыялады. Бул тууралуу Маданият, маалымат жана жаштар саясаты министрлигинен билдиришти. Маалыматка ылайык, сынак социалдык тармактар жана санарип платформалар үчүн кыска, динамикалуу жана заманбап сериалдарды жаратуу максатын көздөйт. Ошондой эле бул демилге жаш режиссёр, сценарист жана продюсерлерди колдоого багытталган. Сынактын шарттары: Тематика жана мазмун: Сынакка юридикалык жактар (жеке студиялар) катыша алышат. Ар бир катышуучу бир гана долбоор сунуштай алат. Талап кылынган материалдар: Белгиленгендей, документтерди кабыл алуу мөөнөтү 30-апрелде аяктайт. Өтүнмөлөрдү kyrgyzserialredakcia@gmail.com дарегине жөнөтүү керек. Байланыш телефондору: 0312 54 57 53, 0705 49 67 49, 0706 88 08 78.",24.kg,,,kyrgyz,0,high,,news_site
